epoch: train_acc1 train_acc2 test_acc1 test_acc2 pure_ratio1 pure_ratio2
0: 0 0 0 0 0 0
1: 39.61805555555556 39.826388888888886 35.625 30.3125 72.2768670309654 72.64116575591987
2: 49.513888888888886 48.15972222222222 70.0 69.375 75.21657250470808 74.83992467043312
3: 50.86805555555556 49.93055555555556 72.5 72.8125 77.11500974658868 77.03703703703701
4: 51.388888888888886 50.416666666666664 73.125 73.125 79.1919191919192 79.07070707070707
5: 51.84027777777778 51.18055555555556 75.625 73.125 81.00628930817611 80.62893081761005
6: 51.875 51.145833333333336 73.125 72.5 82.83224400871465 82.52723311546845
7: 51.736111111111114 50.97222222222222 70.3125 70.625 85.07936507936512 84.35374149659869
8: 51.354166666666664 51.31944444444444 70.3125 70.625 87.00483091787439 86.28019323671498
9: 51.63194444444444 51.49305555555556 75.0 75.9375 88.43434343434345 88.28282828282826
10: 51.770833333333336 52.326388888888886 71.5625 70.9375 88.3838383838384 88.33333333333334
11: 51.979166666666664 52.43055555555556 74.375 74.375 88.83838383838385 88.83838383838385
12: 52.048611111111114 52.361111111111114 73.75 75.0 88.4848484848485 88.53535353535352
13: 52.46527777777778 52.22222222222222 71.5625 68.125 88.68686868686869 88.4848484848485
14: 52.291666666666664 52.56944444444444 71.5625 69.0625 88.28282828282829 88.53535353535354
15: 52.25694444444444 52.15277777777778 72.5 74.6875 89.19191919191917 88.98989898989899
16: 52.638888888888886 52.46527777777778 73.75 75.0 88.83838383838382 88.88888888888887
17: 52.53472222222222 52.53472222222222 73.125 74.0625 88.7878787878788 88.68686868686869
18: 52.77777777777778 52.083333333333336 72.5 71.875 88.98989898989898 88.73737373737373
19: 53.05555555555556 53.19444444444444 74.6875 70.9375 88.58585858585857 88.68686868686869
20: 53.333333333333336 53.541666666666664 70.0 73.4375 88.4848484848485 88.33333333333336
21: 53.15972222222222 53.263888888888886 75.9375 76.5625 88.78787878787878 88.73737373737373
22: 52.77777777777778 52.951388888888886 74.6875 73.4375 88.7878787878788 88.58585858585857
23: 52.951388888888886 52.604166666666664 72.1875 74.6875 89.14141414141413 89.1919191919192
24: 53.263888888888886 53.47222222222222 73.75 70.625 88.33333333333334 88.33333333333334
25: 53.09027777777778 52.951388888888886 74.375 74.375 88.8888888888889 88.98989898989899
26: 52.77777777777778 53.36805555555556 76.875 75.3125 88.53535353535355 88.8888888888889
27: 52.74305555555556 53.09027777777778 74.6875 75.625 88.63636363636367 88.83838383838383
28: 53.541666666666664 53.81944444444444 74.375 74.6875 89.2929292929293 89.19191919191918
29: 53.263888888888886 52.77777777777778 75.3125 73.4375 89.14141414141416 89.14141414141415
30: 53.263888888888886 53.47222222222222 74.6875 72.8125 89.19191919191921 89.04040404040403
31: 52.986111111111114 53.611111111111114 76.5625 75.0 88.78787878787878 88.98989898989898
32: 53.298611111111114 53.05555555555556 74.0625 75.3125 89.09090909090908 88.93939393939394
33: 53.263888888888886 53.71527777777778 72.8125 73.75 88.78787878787878 88.93939393939397
34: 53.15972222222222 53.298611111111114 72.1875 72.1875 89.29292929292932 89.34343434343434
35: 53.333333333333336 53.333333333333336 75.9375 75.3125 89.74747474747473 89.59595959595961
36: 53.47222222222222 53.68055555555556 72.1875 69.375 88.58585858585857 88.989898989899
37: 53.36805555555556 53.19444444444444 75.625 73.75 88.83838383838385 89.04040404040404
38: 53.50694444444444 53.541666666666664 71.25 74.0625 88.93939393939391 88.98989898989899
39: 53.958333333333336 53.71527777777778 77.5 77.1875 89.44444444444443 89.04040404040403
40: 53.541666666666664 53.78472222222222 76.25 76.25 89.09090909090907 88.83838383838382
41: 53.50694444444444 53.15972222222222 77.1875 76.5625 89.44444444444443 89.24242424242425
42: 53.888888888888886 54.02777777777778 71.25 70.625 89.34343434343432 89.29292929292927
43: 53.47222222222222 54.479166666666664 77.5 75.625 89.04040404040406 89.14141414141412
44: 53.854166666666664 53.958333333333336 76.5625 74.6875 89.19191919191923 89.1919191919192
45: 53.68055555555556 53.611111111111114 76.5625 76.25 88.28282828282826 88.4848484848485
46: 53.263888888888886 53.81944444444444 74.6875 78.4375 88.63636363636363 88.68686868686869
47: 53.50694444444444 53.125 75.625 75.625 88.13131313131312 88.23232323232324
48: 53.99305555555556 54.479166666666664 76.875 75.9375 88.73737373737372 88.73737373737372
49: 53.68055555555556 53.68055555555556 72.5 75.0 89.0909090909091 89.0909090909091
50: 53.71527777777778 53.541666666666664 74.375 73.125 88.83838383838382 88.83838383838383
51: 53.68055555555556 54.0625 73.75 75.3125 89.44444444444443 89.54545454545452
52: 53.645833333333336 53.50694444444444 77.8125 78.125 88.63636363636361 89.09090909090907
53: 53.645833333333336 54.09722222222222 74.375 75.625 88.98989898989899 89.04040404040406
54: 54.375 53.888888888888886 78.125 73.125 88.98989898989899 89.14141414141413
55: 53.81944444444444 53.958333333333336 76.5625 76.25 89.5959595959596 89.24242424242425
56: 53.75 54.0625 76.5625 76.25 88.48484848484846 89.04040404040403
57: 54.34027777777778 54.34027777777778 73.75 75.3125 89.44444444444444 89.6969696969697
58: 53.611111111111114 53.923611111111114 74.375 73.75 89.04040404040406 89.0909090909091
59: 54.30555555555556 54.583333333333336 74.6875 74.375 88.18181818181819 88.23232323232325
60: 53.36805555555556 53.576388888888886 72.5 75.0 88.38383838383838 88.53535353535355
61: 54.02777777777778 54.270833333333336 75.0 74.375 88.83838383838385 88.88888888888889
62: 53.71527777777778 53.99305555555556 75.0 75.3125 89.1919191919192 89.14141414141415
63: 53.4375 54.09722222222222 76.25 73.4375 88.83838383838385 89.09090909090908
64: 53.958333333333336 54.44444444444444 75.625 74.6875 89.29292929292929 89.24242424242422
65: 53.75 54.02777777777778 76.5625 77.8125 89.3939393939394 89.2929292929293
66: 53.541666666666664 53.298611111111114 73.4375 73.75 88.53535353535352 88.48484848484848
67: 54.02777777777778 53.611111111111114 75.3125 76.875 89.64646464646466 89.64646464646466
68: 54.40972222222222 54.236111111111114 74.6875 74.375 89.34343434343434 89.19191919191918
69: 53.71527777777778 54.09722222222222 73.125 75.9375 88.73737373737373 88.78787878787878
70: 54.13194444444444 54.02777777777778 75.625 75.9375 88.68686868686866 88.63636363636364
71: 53.854166666666664 53.888888888888886 74.375 75.3125 89.09090909090907 88.93939393939394
72: 53.99305555555556 54.479166666666664 76.875 75.3125 88.989898989899 88.98989898989899
73: 53.81944444444444 54.30555555555556 70.625 70.625 89.04040404040403 89.24242424242422
74: 54.09722222222222 54.44444444444444 75.9375 77.5 88.88888888888887 88.83838383838382
75: 53.888888888888886 54.40972222222222 76.25 75.625 88.48484848484851 88.83838383838385
76: 54.166666666666664 53.958333333333336 72.5 77.1875 89.59595959595961 89.54545454545456
77: 53.958333333333336 54.65277777777778 76.25 74.6875 88.63636363636364 88.68686868686866
78: 54.72222222222222 54.34027777777778 73.4375 72.8125 89.09090909090908 88.88888888888889
79: 54.44444444444444 54.513888888888886 72.5 73.125 89.0909090909091 89.04040404040403
80: 54.40972222222222 54.583333333333336 76.5625 75.3125 88.8888888888889 88.93939393939392
81: 54.44444444444444 54.75694444444444 76.875 76.25 89.09090909090908 88.93939393939392
82: 54.166666666666664 54.201388888888886 73.4375 74.6875 88.88888888888889 88.83838383838382
83: 54.34027777777778 54.65277777777778 75.9375 76.25 88.93939393939394 89.09090909090908
84: 53.923611111111114 54.201388888888886 73.125 73.75 88.58585858585857 88.73737373737376
85: 54.13194444444444 54.65277777777778 74.375 74.6875 88.63636363636364 88.33333333333334
86: 53.81944444444444 54.201388888888886 76.25 77.5 89.39393939393939 89.64646464646465
87: 54.40972222222222 55.0 75.625 76.25 88.83838383838383 88.88888888888889
88: 54.583333333333336 54.861111111111114 75.3125 75.3125 88.989898989899 88.93939393939394
89: 54.34027777777778 54.65277777777778 74.6875 74.6875 89.24242424242424 89.24242424242425
90: 55.03472222222222 55.173611111111114 77.1875 76.5625 88.43434343434342 88.53535353535352
91: 54.236111111111114 54.75694444444444 75.0 78.125 88.93939393939391 89.39393939393938
92: 55.03472222222222 55.729166666666664 76.5625 74.6875 88.73737373737374 89.0909090909091
93: 55.486111111111114 55.520833333333336 75.625 76.5625 89.09090909090908 89.19191919191917
94: 54.65277777777778 54.895833333333336 75.9375 75.9375 88.98989898989898 88.93939393939391
95: 55.24305555555556 55.729166666666664 75.3125 76.25 89.24242424242425 89.3939393939394
96: 55.55555555555556 55.69444444444444 77.5 75.9375 89.09090909090908 89.14141414141413
97: 55.34722222222222 55.486111111111114 74.0625 76.5625 89.04040404040403 89.34343434343432
98: 55.65972222222222 55.59027777777778 75.0 75.3125 89.39393939393938 89.39393939393939
99: 55.486111111111114 56.041666666666664 74.0625 74.6875 89.39393939393939 89.74747474747473
100: 55.3125 55.416666666666664 74.375 75.0 89.44444444444444 89.04040404040403
101: 55.416666666666664 55.59027777777778 75.3125 75.3125 89.04040404040403 88.7878787878788
102: 55.729166666666664 55.763888888888886 75.0 75.9375 88.53535353535355 88.88888888888887
103: 55.34722222222222 55.55555555555556 75.625 76.875 89.29292929292932 89.24242424242425
104: 55.763888888888886 55.90277777777778 76.5625 77.1875 89.3939393939394 89.59595959595958
105: 55.729166666666664 55.55555555555556 75.9375 78.125 89.09090909090908 89.29292929292927
106: 55.69444444444444 55.90277777777778 75.625 74.375 89.94949494949495 89.74747474747474
107: 55.729166666666664 56.041666666666664 75.625 75.625 89.34343434343432 89.34343434343434
108: 55.729166666666664 56.59722222222222 73.4375 73.125 89.14141414141416 89.29292929292932
109: 55.798611111111114 56.111111111111114 77.1875 76.25 89.14141414141412 89.29292929292927
110: 55.9375 55.763888888888886 75.3125 75.9375 89.4949494949495 89.54545454545453
