epoch: train_acc1 train_acc2 test_acc1 test_acc2 pure_ratio1 pure_ratio2
0: 0 0 0 0 0 0
1: 37.395833333333336 36.701388888888886 29.375 42.8125 61.32616487455196 61.29032258064516
2: 44.201388888888886 43.09027777777778 69.375 70.3125 63.2058287795993 63.278688524590194
3: 44.375 44.09722222222222 70.9375 68.75 64.97175141242938 64.70809792843691
4: 45.138888888888886 44.479166666666664 68.75 64.6875 65.90038314176248 65.78544061302682
5: 45.03472222222222 45.208333333333336 71.5625 71.25 67.81746031746032 67.81746031746033
6: 44.826388888888886 45.138888888888886 71.875 72.1875 68.80808080808082 68.88888888888889
7: 44.96527777777778 45.38194444444444 69.6875 71.875 68.88888888888889 68.93004115226336
8: 45.55555555555556 45.38194444444444 70.0 68.125 71.62393162393163 71.79487179487181
9: 45.38194444444444 45.104166666666664 74.6875 73.75 72.02614379084966 72.37472766884531
10: 45.520833333333336 45.798611111111114 71.875 73.4375 72.33115468409584 72.33115468409584
11: 45.520833333333336 45.24305555555556 72.8125 72.1875 71.67755991285404 71.63398692810458
12: 45.416666666666664 45.65972222222222 71.5625 72.5 72.37472766884528 72.41830065359474
13: 45.65972222222222 45.59027777777778 74.375 73.125 71.32897603485836 71.54684095860564
14: 45.69444444444444 45.90277777777778 72.5 72.8125 71.5904139433551 71.85185185185185
15: 45.65972222222222 45.416666666666664 72.8125 73.125 71.37254901960783 71.28540305010894
16: 45.69444444444444 46.00694444444444 73.125 72.1875 71.7211328976035 71.85185185185186
17: 45.90277777777778 45.86805555555556 74.0625 73.125 71.67755991285404 71.54684095860566
18: 45.486111111111114 45.520833333333336 74.375 73.75 71.24183006535948 71.24183006535948
19: 46.423611111111114 46.28472222222222 74.6875 74.375 71.93899782135075 71.76470588235293
20: 46.111111111111114 45.69444444444444 74.375 72.8125 71.85185185185185 71.72113289760348
21: 45.86805555555556 45.9375 73.4375 72.5 72.02614379084967 71.98257080610021
22: 46.145833333333336 46.388888888888886 73.125 74.375 71.85185185185185 72.02614379084966
23: 45.9375 46.111111111111114 75.0 73.4375 71.67755991285402 71.85185185185185
24: 46.041666666666664 45.97222222222222 71.875 73.75 71.9825708061002 71.80827886710237
25: 46.00694444444444 46.041666666666664 72.1875 72.5 71.67755991285402 72.02614379084967
26: 45.763888888888886 45.97222222222222 74.0625 73.75 71.45969498910674 71.72113289760347
27: 45.90277777777778 45.90277777777778 74.6875 75.625 71.85185185185186 71.59041394335514
28: 46.00694444444444 45.90277777777778 73.75 73.75 71.41612200435729 71.37254901960783
29: 46.354166666666664 45.9375 76.25 73.75 71.63398692810458 71.63398692810458
30: 46.458333333333336 46.28472222222222 72.5 72.1875 72.02614379084969 71.8082788671024
31: 46.458333333333336 46.21527777777778 73.4375 73.125 72.11328976034856 71.80827886710237
32: 45.9375 45.416666666666664 74.6875 74.6875 71.67755991285401 71.76470588235293
33: 46.49305555555556 46.145833333333336 72.1875 71.875 71.76470588235293 72.24400871459693
34: 46.90972222222222 46.31944444444444 73.75 73.4375 72.2004357298475 72.28758169934642
35: 46.041666666666664 46.145833333333336 74.0625 74.375 71.80827886710239 71.98257080610023
36: 45.520833333333336 45.90277777777778 75.0 74.0625 71.89542483660131 71.76470588235296
37: 46.145833333333336 46.21527777777778 74.375 74.0625 71.89542483660131 71.98257080610021
38: 46.388888888888886 46.041666666666664 74.0625 74.0625 71.54684095860566 71.67755991285402
39: 46.52777777777778 46.49305555555556 73.75 73.75 71.89542483660131 72.11328976034858
40: 46.5625 46.31944444444444 74.6875 74.6875 72.11328976034858 72.06971677559912
41: 46.28472222222222 46.49305555555556 75.3125 75.3125 72.2875816993464 72.15686274509804
42: 46.59722222222222 46.59722222222222 71.25 68.75 72.33115468409584 72.20043572984747
43: 46.28472222222222 46.875 75.9375 75.9375 71.85185185185186 71.89542483660131
44: 47.013888888888886 46.59722222222222 74.375 74.375 72.11328976034861 71.85185185185186
45: 46.770833333333336 46.701388888888886 74.0625 75.3125 72.06971677559912 72.06971677559912
46: 46.28472222222222 46.388888888888886 75.625 75.0 72.2875816993464 72.33115468409585
47: 46.145833333333336 46.354166666666664 75.3125 74.6875 71.80827886710239 71.67755991285401
48: 47.048611111111114 46.94444444444444 75.625 76.25 72.41830065359477 72.37472766884531
49: 47.1875 46.111111111111114 76.25 76.25 72.06971677559912 72.06971677559912
50: 46.770833333333336 46.63194444444444 72.8125 74.375 72.0697167755991 72.20043572984747
51: 47.083333333333336 47.083333333333336 75.625 75.0 72.15686274509805 72.2004357298475
52: 46.52777777777778 46.354166666666664 75.3125 72.8125 72.37472766884532 72.50544662309368
53: 46.076388888888886 45.97222222222222 75.625 75.3125 71.8082788671024 71.67755991285402
54: 46.90972222222222 46.423611111111114 74.6875 74.375 71.80827886710239 71.76470588235293
55: 46.388888888888886 47.048611111111114 75.9375 75.3125 71.76470588235294 71.93899782135077
56: 46.84027777777778 46.701388888888886 74.6875 75.9375 72.02614379084966 72.11328976034858
57: 46.25 46.354166666666664 73.4375 75.3125 72.24400871459694 72.15686274509802
58: 46.5625 46.52777777777778 76.25 75.9375 71.72113289760347 71.67755991285401
59: 46.94444444444444 47.083333333333336 76.25 76.875 72.37472766884528 72.5490196078431
60: 46.18055555555556 46.18055555555556 61.875 70.0 72.02614379084967 71.85185185185186
61: 46.80555555555556 46.80555555555556 77.8125 75.625 71.89542483660131 71.85185185185185
62: 46.701388888888886 46.736111111111114 73.125 74.0625 72.5054466230937 72.54901960784315
63: 47.048611111111114 47.013888888888886 76.5625 77.1875 72.41830065359476 72.41830065359477
64: 46.21527777777778 46.5625 75.9375 76.5625 71.85185185185185 71.50326797385621
65: 47.1875 47.326388888888886 75.9375 75.625 72.28758169934639 72.41830065359477
66: 46.52777777777778 46.63194444444444 75.9375 75.3125 71.8954248366013 72.06971677559912
67: 47.15277777777778 46.875 77.5 76.875 72.59259259259258 72.67973856209149
68: 46.94444444444444 46.90972222222222 74.6875 74.0625 71.67755991285401 71.76470588235293
69: 46.875 46.25 76.875 76.25 71.54684095860566 71.63398692810456
70: 46.111111111111114 46.736111111111114 75.9375 76.5625 71.93899782135075 71.72113289760347
71: 46.770833333333336 46.666666666666664 74.375 75.0 71.9825708061002 71.9825708061002
72: 46.701388888888886 47.083333333333336 75.625 74.6875 72.11328976034856 72.28758169934639
73: 46.701388888888886 46.94444444444444 73.75 73.75 72.41830065359474 72.41830065359474
74: 46.63194444444444 46.979166666666664 72.8125 72.8125 72.33115468409585 72.15686274509802
75: 46.84027777777778 46.979166666666664 68.4375 75.3125 71.93899782135075 71.93899782135075
76: 46.52777777777778 46.875 74.375 74.375 71.98257080610018 71.85185185185183
77: 47.326388888888886 47.1875 75.9375 75.3125 71.8082788671024 71.8082788671024
78: 46.63194444444444 46.736111111111114 75.3125 75.625 72.11328976034856 72.3747276688453
79: 47.013888888888886 46.979166666666664 76.5625 75.625 72.15686274509801 72.20043572984747
80: 47.11805555555556 47.326388888888886 75.0 75.3125 72.28758169934639 72.33115468409584
81: 46.90972222222222 47.5 76.5625 76.875 72.41830065359478 72.41830065359477
82: 46.80555555555556 46.388888888888886 76.875 76.5625 72.33115468409585 72.33115468409585
83: 47.361111111111114 47.326388888888886 75.9375 75.0 72.11328976034855 72.11328976034856
84: 46.84027777777778 46.52777777777778 75.9375 74.6875 71.72113289760348 71.80827886710237
85: 46.90972222222222 46.90972222222222 71.25 73.4375 72.41830065359477 72.46187363834422
86: 47.604166666666664 47.53472222222222 76.25 77.5 71.89542483660128 71.85185185185182
