epoch: train_acc1 train_acc2 test_acc1 test_acc2 pure_ratio1 pure_ratio2
0: 0 0 0 0 0 0
1: 51.041666666666664 54.166666666666664 62.5 56.25 18.39080459770115 16.666666666666664
2: 62.5 60.416666666666664 59.375 31.25 12.179487179487177 11.538461538461538
3: 65.10416666666667 62.5 43.75 25.0 10.869565217391305 11.594202898550725
4: 67.70833333333333 63.541666666666664 40.625 28.125 8.333333333333334 6.666666666666667
5: 64.0625 67.70833333333333 34.375 34.375 10.784313725490195 10.784313725490195
6: 61.458333333333336 63.541666666666664 31.25 31.25 8.333333333333332 9.523809523809522
7: 63.020833333333336 64.0625 34.375 31.25 6.944444444444443 5.5555555555555545
8: 65.10416666666667 64.58333333333333 28.125 34.375 1.8518518518518519 3.7037037037037037
9: 67.1875 66.66666666666667 34.375 34.375 5.5555555555555545 5.5555555555555545
10: 65.625 67.1875 37.5 37.5 5.5555555555555545 5.5555555555555545
11: 62.5 63.541666666666664 34.375 34.375 11.111111111111109 2.7777777777777772
12: 61.979166666666664 65.625 37.5 37.5 2.7777777777777772 5.5555555555555545
13: 61.458333333333336 63.541666666666664 37.5 31.25 5.5555555555555545 8.333333333333332
14: 60.416666666666664 62.5 37.5 37.5 5.5555555555555545 5.5555555555555545
15: 64.0625 64.0625 34.375 31.25 8.333333333333332 5.5555555555555545
16: 63.020833333333336 63.020833333333336 34.375 31.25 8.333333333333332 8.333333333333332
17: 60.9375 62.5 34.375 34.375 2.7777777777777772 2.7777777777777772
18: 63.020833333333336 61.458333333333336 34.375 31.25 5.5555555555555545 5.5555555555555545
19: 58.854166666666664 57.8125 31.25 34.375 5.5555555555555545 5.5555555555555545
20: 57.8125 58.333333333333336 34.375 34.375 5.5555555555555545 5.5555555555555545
21: 58.854166666666664 59.375 34.375 34.375 0.0 8.333333333333332
22: 59.375 61.458333333333336 34.375 34.375 8.333333333333332 5.5555555555555545
23: 59.895833333333336 58.333333333333336 34.375 37.5 5.5555555555555545 2.7777777777777772
24: 60.9375 60.416666666666664 34.375 34.375 8.333333333333332 5.5555555555555545
25: 59.895833333333336 61.458333333333336 31.25 34.375 8.333333333333332 5.5555555555555545
26: 61.979166666666664 61.458333333333336 34.375 34.375 5.5555555555555545 5.5555555555555545
27: 61.979166666666664 62.5 34.375 34.375 2.7777777777777772 0.0
28: 59.895833333333336 61.458333333333336 31.25 31.25 8.333333333333332 2.7777777777777772
29: 60.416666666666664 58.854166666666664 37.5 31.25 2.7777777777777772 2.7777777777777772
30: 61.458333333333336 61.979166666666664 31.25 34.375 5.5555555555555545 8.333333333333332
31: 58.854166666666664 60.416666666666664 34.375 34.375 2.7777777777777772 2.7777777777777772
