epoch: train_acc1 train_acc2 test_acc1 test_acc2 pure_ratio1 pure_ratio2
0: 0 0 0 0 0 0
1: 51.041666666666664 54.166666666666664 59.375 37.5 59.44444444444445 58.333333333333336
2: 50.0 47.916666666666664 75.0 75.0 60.91954022988505 60.91954022988505
3: 55.729166666666664 49.479166666666664 75.0 65.625 61.11111111111111 59.25925925925926
4: 56.25 58.333333333333336 65.625 68.75 62.17948717948718 61.53846153846154
5: 57.8125 55.208333333333336 62.5 56.25 61.80555555555554 61.11111111111111
6: 56.25 56.25 65.625 56.25 64.4927536231884 64.4927536231884
7: 58.333333333333336 55.729166666666664 65.625 56.25 62.878787878787875 62.121212121212125
8: 55.729166666666664 54.166666666666664 62.5 62.5 60.833333333333336 61.666666666666664
9: 59.375 55.729166666666664 59.375 59.375 64.91228070175438 65.78947368421052
10: 55.208333333333336 56.25 59.375 50.0 68.42105263157895 66.66666666666667
11: 60.416666666666664 56.25 59.375 65.625 62.280701754385966 62.28070175438595
12: 56.25 55.729166666666664 56.25 62.5 58.771929824561404 59.64912280701754
13: 55.208333333333336 56.25 65.625 62.5 64.03508771929823 63.1578947368421
14: 56.25 54.166666666666664 53.125 56.25 64.03508771929823 64.03508771929825
15: 57.8125 57.8125 62.5 56.25 64.03508771929825 64.91228070175438
16: 55.729166666666664 55.208333333333336 59.375 59.375 62.280701754385966 61.40350877192983
17: 56.770833333333336 57.8125 53.125 56.25 64.91228070175437 66.66666666666667
18: 58.854166666666664 58.333333333333336 62.5 59.375 67.5438596491228 66.66666666666667
19: 58.854166666666664 57.291666666666664 59.375 59.375 69.29824561403508 67.54385964912281
20: 60.416666666666664 59.375 56.25 56.25 64.03508771929823 63.1578947368421
21: 56.770833333333336 56.770833333333336 62.5 59.375 62.280701754385966 64.03508771929825
22: 59.375 59.375 56.25 62.5 64.91228070175438 64.03508771929825
23: 58.333333333333336 55.729166666666664 56.25 50.0 64.03508771929825 64.9122807017544
24: 60.9375 58.333333333333336 56.25 59.375 66.66666666666667 64.91228070175438
25: 57.8125 57.8125 56.25 50.0 63.1578947368421 66.66666666666666
26: 58.333333333333336 58.854166666666664 62.5 53.125 62.280701754385966 61.40350877192983
27: 54.6875 56.25 56.25 53.125 64.91228070175438 64.91228070175438
28: 57.8125 58.854166666666664 56.25 37.5 60.52631578947368 58.771929824561404
29: 55.208333333333336 57.291666666666664 56.25 50.0 67.5438596491228 70.17543859649122
30: 55.208333333333336 53.645833333333336 59.375 56.25 71.05263157894737 73.6842105263158
31: 57.291666666666664 55.208333333333336 65.625 62.5 74.56140350877193 73.6842105263158
32: 57.291666666666664 57.291666666666664 62.5 65.625 70.17543859649122 71.9298245614035
33: 57.8125 55.729166666666664 62.5 59.375 69.29824561403508 70.17543859649122
34: 57.291666666666664 57.8125 59.375 62.5 71.05263157894736 72.80701754385964
35: 57.8125 56.770833333333336 65.625 56.25 67.54385964912281 67.54385964912281
36: 60.9375 59.895833333333336 65.625 68.75 74.56140350877192 75.43859649122807
37: 59.895833333333336 58.854166666666664 62.5 59.375 73.68421052631578 72.80701754385964
38: 59.895833333333336 56.770833333333336 62.5 62.5 73.68421052631578 71.9298245614035
39: 59.895833333333336 60.416666666666664 65.625 62.5 69.29824561403508 72.80701754385966
40: 58.854166666666664 58.854166666666664 65.625 65.625 67.54385964912281 67.54385964912281
41: 57.291666666666664 56.770833333333336 59.375 59.375 69.29824561403508 70.17543859649122
42: 55.729166666666664 56.770833333333336 65.625 65.625 67.54385964912281 68.42105263157895
