epoch: train_acc1 train_acc2 test_acc1 test_acc2 pure_ratio1 pure_ratio2
0: 0 0 0 0 0 0
1: 51.0 50.0 52.083333333333336 58.333333333333336 55.33333333333332 52.66666666666666
2: 50.0 51.0 62.5 68.75 55.99999999999999 57.99999999999999
3: 49.5 51.5 62.5 54.166666666666664 58.0 56.66666666666666
4: 48.0 50.0 60.416666666666664 58.333333333333336 57.99999999999998 57.99999999999998
5: 52.5 51.0 58.333333333333336 58.333333333333336 61.0 61.0
6: 50.0 51.5 68.75 68.75 59.0 58.0
7: 51.5 50.0 70.83333333333333 70.83333333333333 57.0 59.0
8: 53.0 48.5 64.58333333333333 58.333333333333336 62.0 64.0
9: 51.0 52.0 58.333333333333336 58.333333333333336 66.0 66.0
10: 52.0 52.0 58.333333333333336 58.333333333333336 68.0 66.0
11: 51.5 51.5 58.333333333333336 58.333333333333336 58.0 56.0
12: 52.5 52.5 58.333333333333336 58.333333333333336 70.0 74.0
13: 51.5 51.5 58.333333333333336 58.333333333333336 70.0 70.0
14: 51.5 51.5 58.333333333333336 58.333333333333336 64.0 66.0
15: 51.5 51.5 58.333333333333336 58.333333333333336 66.0 68.0
16: 52.5 52.5 58.333333333333336 58.333333333333336 60.0 58.0
17: 52.0 52.0 58.333333333333336 58.333333333333336 60.0 62.0
18: 52.0 52.0 58.333333333333336 58.333333333333336 60.0 60.0
19: 52.0 52.0 58.333333333333336 58.333333333333336 60.0 56.0
