epoch: train_acc1 train_acc2 test_acc1 test_acc2 pure_ratio1 pure_ratio2
0: 0 0 0 0 0 0
1: 57.0 56.0 72.91666666666667 68.75 85.33333333333334 83.99999999999999
2: 58.0 59.0 62.5 47.916666666666664 86.0 83.33333333333331
3: 59.0 57.5 58.333333333333336 58.333333333333336 82.66666666666669 83.33333333333331
4: 59.0 59.0 64.58333333333333 58.333333333333336 84.66666666666666 83.99999999999999
5: 56.5 55.5 66.66666666666667 68.75 83.33333333333331 81.3333333333333
6: 57.5 62.5 68.75 66.66666666666667 86.66666666666666 87.33333333333334
7: 59.0 60.5 66.66666666666667 60.416666666666664 83.33333333333331 85.33333333333331
8: 55.5 59.0 66.66666666666667 64.58333333333333 83.33333333333334 83.33333333333334
9: 58.5 57.0 68.75 62.5 84.66666666666666 85.33333333333331
10: 61.0 59.0 68.75 64.58333333333333 83.99999999999996 83.3333333333333
11: 59.5 56.0 68.75 68.75 83.33333333333331 83.33333333333331
12: 62.5 63.5 70.83333333333333 72.91666666666667 88.66666666666669 86.0
13: 63.5 62.0 70.83333333333333 66.66666666666667 83.33333333333331 83.99999999999999
14: 57.5 58.5 68.75 64.58333333333333 83.33333333333334 83.33333333333334
15: 60.5 61.5 77.08333333333333 75.0 85.99999999999999 86.66666666666666
16: 63.0 64.0 72.91666666666667 47.916666666666664 83.33333333333331 83.99999999999996
17: 59.5 61.0 70.83333333333333 68.75 85.3333333333333 84.66666666666664
18: 57.5 62.0 75.0 62.5 85.33333333333331 82.66666666666664
19: 65.0 62.0 70.83333333333333 70.83333333333333 82.66666666666664 81.33333333333331
